Row 1: ['كرتونة 1 فرز 23/7/2026', None, None, None, None, None, None, None, None, None]
Row 3: ['العدد', 'الصنف', None, None, 'الفرزه', 'ملاحظات', None, 'الموديل', None, 'العدد']
Row 5: [1, 'Philips 27', None, None, 1, '( Audio + HD + DP + VGA + DVI + IPS)', None, '271B8QJ', None, None]
Row 7: [2, 'HP 27', None, None, '2 \n( بصمه print )', '(4K) ( 2HD + DP + mDP+ IPS )', None, 'Z27s', None, None]
Row 9: [1, 'DELL 27', None, None, 1, '( HD + DP + VGA + IPS )', None, 'P2717H', None, None]
Row 11: [2, 'DELL 27', None, None, 1, '( VGA + DVI + DP + IPS )', None, 'P2714H', None, None]
Row 13: [1, 'DELL 27', None, None, 1, '(2K) ( HD + DP + mDP + DVI )', None, 'U2713H', None, None]
Row 15: [1, 'DELL 27', None, None, '2 ( اسكرتش )', '( HD + DP + VGA + IPS )', None, 'P2717H', None, None]
Row 17: [1, 'EIZO 27', None, None, 1, '( Audio + DP + DVI + IPS)', None, 'EV2736W', None, None]
Row 19: [1, 'SAMSUNG 27', None, None, '1', '( 2HD + DP + mDP )', None, 'LU28E85KRS', None, None]
Row 21: [1, 'SAMSUNG 27', None, None, '1', '( VGA + DVI + DP )', None, 'S27E450', None, None]
Row 23: [1, 'SAMSUNG 27', None, None, '1', '( Audio + VGA + DP + DVI + IPS)', None, 'S27E650', None, None]
Row 25: [1, 'SAMSUNG 27', None, None, 1, '( VGA + DVI + DP )', None, 'S27E650', None, None]
Row 27: [2, 'HP 27', None, None, 1, '( VGA + DVI + DP + HD + IPS )', None, 'Z27i', None, None]
Row 29: [1, 'Philips 27', None, None, 1, '( VGA + DVI )', None, '273EL', None, None]
Row 31: [1, 'AOC 27', None, None, 1, '( Audio + HD + DP + VGA + DVI + IPS)', None, 'Q2775PQU', None, None]
Row 33: [1, 'SAMSUNG 27', None, None, 1, '( VGA + DVI + DP + IPS )', None, 'S27C650', None, None]
Row 35: [3, 'HP 27', None, None, 1, '(4K) ( 2HD + DP + mDP+ IPS )', None, 'Z27s', None, None]
Row 37: [1, 'HP 27', None, None, '2 ( بصمات + احمرار  )', '(4K) ( 2HD + DP + mDP+ IPS )', None, 'Z27s', None, None]
Row 39: [1, 'DELL 27', None, None, 1, '(4K) ( HD + 2DP + mDP+ IPS )', None, 'P2715Q', None, None]
Row 41: [1, 'ViewSonic 27', None, None, '1', '( VGA + HD + IPS )', None, None, None, None]
Row 43: [4, 'SAMSUNG 27 Adapter', None, None, 1, '( VGA + DVI + DP + IPS )', None, 'SA650', None, None]
Row 45: [1, 'SAMSUNG 28 Adapter', None, None, '2 ( اسكرتشات)', '(4K) \n( 2HD + DP + IPS )', None, 'LU28E570DS', None, None]
Row 47: [2, 'SAMSUNG 28 Adapter', None, None, 1, '(4K) \n( 2HD + DP + IPS )', None, 'LU28E570DS', None, None]
Row 49: ['كرتونة 1 فرز 23/7/2026', None, None, None, None, None, None, None, None, None]
Row 51: ['العدد', 'الصنف', None, None, 'الفرزه', 'ملاحظات', None, 'الموديل', None, 'العدد']
Row 53: [2, 'SAMSUNG 28 Adapter', None, None, 1, '(4K) \n( 2HD + DP + IPS )', None, 'LU28E590DS', None, None]
Row 55: [2, 'SAMSUNG 27 Adapter', None, None, 1, '( VGA + HD + IPS )', None, 'LS27F350FHUXEN', None, None]
Row 57: [1, 'LG 27 Adapter', None, None, '2 (اسكرتش يمين )', '(4K)\n ( 2HD + DP + IPS )', None, '1907FPVT', None, None]
Row 59: [1, 'SAMSUNG 28 Adapter', None, None, 1, '(4K)\n ( 2HD + DP + IPS )', None, 'LU28H750UQUXEN', None, None]
Row 61: [1, 'SAMSUNG 27 Adapter', None, None, 1, '( VGA + HD + IPS )', None, 'SA550', None, None]
Row 63: [1, 'HP 27', None, None, '2 ( تراب )', '( HD + DP + \nVGA + IPS )', None, 'E272q', None, None]
Row 65: [1, 'ASUS 27', None, None, '2 (اسكرتش يمين )', '(4K)\n ( Audio + 2HD + DP + IPS )', None, 'PB287', None, None]
Row 67: [1, 'ViewSonic 27', None, None, '2\n(اسكرتش)', '( Audio + HD +\n VGA + IPS )', None, 'VS15810', None, None]
Row 69: ['Total', 41, None, None, None, None, None, None, None, None]
